symbol,name,sector,market_cap,date_of_listing
M&MFIN.NS,Mahindra & Mahindra Financial Services Limited,Financial Services,499208585216,2006-03-17 03:45:00+00:00
NTPC.NS,NTPC Limited,Utilities,3170809937920,2004-11-05 03:45:00+00:00
INDHOTEL.NS,The Indian Hotels Company Limited,Consumer Cyclical,1048076288000,2002-07-01 03:45:00+00:00
HYUNDAI.NS,HYUNDAI MOTOR INDIA LTD,Consumer Cyclical,1873801117696,2024-10-22 03:45:00+00:00
MANKIND.NS,Mankind Pharma Limited,Healthcare,924683337728,2023-05-09 03:45:00+00:00
BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,3353432817664,2002-08-12 03:45:00+00:00
ASIANPAINT.NS,Asian Paints Limited,Basic Materials,2757717917696,2002-07-01 03:45:00+00:00
GAIL.NS,GAIL (India) Limited,Utilities,1206527066112,1997-04-02 03:45:00+00:00
NMDC.NS,NMDC Limited,Basic Materials,651814961152,2008-03-03 03:45:00+00:00
EXIDEIND.NS,Exide Industries Limited,Consumer Cyclical,312032395264,2002-07-01 03:45:00+00:00
SBILIFE.NS,SBI Life Insurance Company Limited,Financial Services,2010424016896,2017-10-03 03:45:00+00:00
MPHASIS.NS,Mphasis Limited,Technology,531850559488,2002-07-01 03:45:00+00:00
CANBK.NS,Canara Bank,Financial Services,1370121961472,2002-12-23 03:45:00+00:00
BHARATFORG.NS,Bharat Forge Limited,Consumer Cyclical,687302115328,1996-01-01 03:45:00+00:00
LICHSGFIN.NS,LIC Housing Finance Limited,Financial Services,302259601408,2002-07-01 03:45:00+00:00
INDUSTOWER.NS,Indus Towers Limited,Communication Services,1062897254400,2012-12-28 03:45:00+00:00
ULTRACEMCO.NS,UltraTech Cement Limited,Basic Materials,3419607400448,2002-08-12 03:45:00+00:00
POWERINDIA.NS,Hitachi Energy India Limited,Industrials,975644459008,2020-03-30 03:45:00+00:00
LODHA.NS,Lodha Developers Limited,Real Estate,1157460787200,2021-04-19 03:45:00+00:00
MARUTI.NS,Maruti Suzuki India Limited,Consumer Cyclical,5004974358528,2003-07-09 03:45:00+00:00
OIL.NS,Oil India Limited,Energy,677888786432,2009-09-30 03:45:00+00:00
COCHINSHIP.NS,Cochin Shipyard Limited,Industrials,441633701888,2017-08-11 03:45:00+00:00
DIVISLAB.NS,Divi's Laboratories Limited,Healthcare,1724483895296,2003-03-12 03:45:00+00:00
APOLLOHOSP.NS,Apollo Hospitals Enterprise Limited,Healthcare,1053006954496,2002-07-01 03:45:00+00:00
TITAN.NS,Titan Company Limited,Consumer Cyclical,3463822966784,1996-01-01 03:45:00+00:00
VBL.NS,Varun Beverages Limited,Consumer Defensive,1579727060992,2016-11-08 03:45:00+00:00
