symbol,name,sector,market_cap,date_of_listing
BRITANNIA.NS,Britannia Industries Limited,Consumer Defensive,1408262995968,1996-01-02 03:45:00+00:00
BHARTIARTL.NS,Bharti Airtel Limited,Communication Services,12847914418176,2002-07-01 03:45:00+00:00
ITC.NS,ITC Limited,Consumer Defensive,5047213096960,1996-01-01 03:45:00+00:00
TATAPOWER.NS,Tata Power Company Limited,Utilities,1254493519872,1996-01-01 03:45:00+00:00
SHREECEM.NS,Shree Cement Limited,Basic Materials,966159302656,2001-07-02 03:45:00+00:00
GRASIM.NS,Grasim Industries Limited,Basic Materials,1854762778624,2002-07-01 03:45:00+00:00
CGPOWER.NS,CG Power and Industrial Solutions Limited,Industrials,1071016378368,2002-07-01 03:45:00+00:00
JSWENERGY.NS,JSW Energy Limited,Utilities,851420119040,2010-01-04 03:45:00+00:00
ICICIBANK.NS,ICICI Bank Limited,Financial Services,9947276378112,2002-07-01 03:45:00+00:00
HAVELLS.NS,Havells India Limited,Industrials,897661337600,2002-07-01 03:45:00+00:00
HINDUNILVR.NS,Hindustan Unilever Limited,Consumer Defensive,5752853364736,1996-01-01 03:45:00+00:00
IRFC.NS,Indian Railway Finance Corporation Limited,Financial Services,1539731357696,2021-01-29 03:45:00+00:00
WIPRO.NS,Wipro Limited,Technology,2606188199936,1996-01-01 03:45:00+00:00
RECLTD.NS,REC Limited,Financial Services,956373073920,2008-03-12 03:45:00+00:00
BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,6432043302912,2002-07-01 03:45:00+00:00
TECHM.NS,Tech Mahindra Limited,Technology,1336991809536,2006-08-28 03:45:00+00:00
ADANIPORTS.NS,Adani Ports and Special Economic Zone Limited,Industrials,3261826334720,2007-11-27 03:45:00+00:00
HDFCBANK.NS,HDFC Bank Limited,Financial Services,15575061364736,1996-01-01 03:45:00+00:00
BAJAJHFL.NS,BAJAJ HOUSING FINANCE LTD,Financial Services,878335098880,2024-09-16 03:45:00+00:00
TCS.NS,Tata Consultancy Services Limited,Technology,11334744801280,2002-08-12 03:45:00+00:00
M&M.NS,Mahindra & Mahindra Limited,Consumer Cyclical,4418330689536,1996-01-01 03:45:00+00:00
POWERGRID.NS,Power Grid Corporation of India Limited,Utilities,2548830306304,2007-10-05 03:45:00+00:00
INDIGO.NS,InterGlobe Aviation Limited,Industrials,2288613588992,2015-11-10 03:45:00+00:00
BOSCHLTD.NS,Bosch Limited,Consumer Cyclical,1069699432448,2002-07-01 03:45:00+00:00
TRENT.NS,Trent Limited,Consumer Cyclical,1514199449600,2002-07-01 03:45:00+00:00
MAZDOCK.NS,Mazagon Dock Shipbuilders Limited,Industrials,1080252497920,2020-10-12 03:45:00+00:00
TMPV.NS,Tata Motors Passenger Vehicles Limited,Consumer Cyclical,2641442111488,2025-10-15 03:45:00+00:00
UNITDSPR.NS,UNITED SPIRITS LIMITED,Consumer Defensive,1054079123456,2024-05-30 03:45:00+00:00
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Financial Services,4205815005184,2001-07-02 03:45:00+00:00
EICHERMOT.NS,Eicher Motors Limited,Consumer Cyclical,1923111976960,1996-01-01 03:45:00+00:00
NAUKRI.NS,Info Edge (India) Limited,Communication Services,861794271232,2006-11-21 03:45:00+00:00
NESTLEIND.NS,Nestlé India Limited,Consumer Defensive,2437389484032,2002-08-12 03:45:00+00:00
HCLTECH.NS,HCL Technologies Limited,Technology,4402892505088,2002-08-12 03:45:00+00:00
IOC.NS,Indian Oil Corporation Limited,Energy,2307269066752,1996-04-15 03:45:00+00:00
BPCL.NS,Bharat Petroleum Corporation Limited,Energy,1580951404544,1996-01-02 03:45:00+00:00
INFY.NS,Infosys Limited,Technology,6473249718272,1996-01-01 03:45:00+00:00
TATACONSUM.NS,Tata Consumer Products Limited,Consumer Defensive,1161775022080,1996-01-01 03:45:00+00:00
LTIM.NS,LTIMindtree Limited,Technology,1768759754752,2016-07-21 03:45:00+00:00
ADANIENT.NS,Adani Enterprises Limited,Energy,2712459804672,2002-07-01 03:45:00+00:00
ENRIN.NS,Siemens Energy India Limited,Utilities,1110989078528,2025-06-19 03:45:00+00:00
