symbol,name,sector,market_cap,date_of_listing
PROSTARM.NS,PROSTARM INFO SYSTEMS LTD,Industrials,10980700160.0,2025-06-03 03:45:00+00:00
PROTEAN.NS,Protean eGov Technologies Limited,Technology,33020958720.0,2025-02-06 03:45:00+00:00
PROZONER.NS,Prozone Realty Limited,Real Estate,8225295360.0,2012-09-12 03:45:00+00:00
PRSMJOHNSN.NS,Prism Johnson Limited,Basic Materials,69609177088.0,2002-07-01 03:45:00+00:00
PRUDENT.NS,Prudent Corporate Advisory Services Limited,Financial Services,103555088384.0,2022-05-20 03:45:00+00:00
PRUDMOULI.NS,Prudential Sugar Corporation Ltd.,Consumer Defensive,786626240.0,2023-12-22 03:45:00+00:00
PSB.NS,Punjab & Sind Bank,Financial Services,214073802752.0,2010-12-30 03:45:00+00:00
PSPPROJECT.NS,PSP Projects Limited,Industrials,37785194496.0,2017-05-29 03:45:00+00:00
PTC.NS,PTC India Limited,Utilities,47425544192.0,2004-04-07 03:45:00+00:00
PTCIL.NS,PTC Industries Limited,Industrials,270600519680.0,2023-06-09 03:45:00+00:00
PTL.NS,PTL Enterprises Limited,Real Estate,5231539200.0,2007-01-29 03:45:00+00:00
PUNJABCHEM.NS,Punjab Chemicals and Crop Protection Limited,Basic Materials,16799193088.0,2007-03-08 03:45:00+00:00
PURVA.NS,Puravankara Limited,Real Estate,58967265280.0,2007-08-30 03:45:00+00:00
PVP.NS,PVP Ventures Limited,Industrials,9889248256.0,1996-04-04 03:45:00+00:00
PVRINOX.NS,PVR INOX Limited,Communication Services,104926265344.0,2022-11-10 03:45:00+00:00
PVSL.NS,Popular Vehicles and Services Limited,Consumer Cyclical,9551238144.0,2024-03-19 03:45:00+00:00
PWL.NS,Physicswallah Limited,Consumer Defensive,366069219328.0,2025-11-18 03:45:00+00:00
PYRAMID.NS,Pyramid Technoplast Limited,Consumer Cyclical,6023143424.0,2023-08-29 03:45:00+00:00
QPOWER.NS,QUALITY POWER ELEC EQUP L,Industrials,57316372480.0,2025-02-24 03:45:00+00:00
QUADFUTURE.NS,QUADRANT FUTURE TEK LTD,Industrials,12521999360.0,2025-01-14 03:45:00+00:00
QUESS.NS,Quess Corp Limited,Industrials,31897417728.0,2016-07-12 03:45:00+00:00
QUICKHEAL.NS,Quick Heal Technologies Limited,Technology,16327587840.0,2016-02-18 03:45:00+00:00
RACE.NS,Race Eco Chain Limited,Industrials,2787210240.0,2023-05-09 03:45:00+00:00
RACLGEAR.NS,RACL Geartech Limited,Consumer Cyclical,12542517248.0,2024-11-27 03:45:00+00:00
RADAAN.NS,Radaan Mediaworks India Limited,Communication Services,180899536.0,2003-03-03 03:45:00+00:00
RADHIKAJWE.NS,Radhika Jeweltech Limited,Consumer Cyclical,9502539776.0,2022-07-18 03:45:00+00:00
RADIANTCMS.NS,Radiant Cash Management Services Limited,Industrials,5680061440.0,2023-01-04 03:45:00+00:00
RADICO.NS,Radico Khaitan Limited,Consumer Defensive,422544572416.0,2003-06-18 03:45:00+00:00
RADIOCITY.NS,Music Broadcast Limited,Communication Services,2325620224.0,2017-03-17 03:45:00+00:00
RAILTEL.NS,RailTel Corporation of India Limited,Communication Services,111436898304.0,2021-02-26 03:45:00+00:00
RAIN.NS,Rain Industries Limited,Basic Materials,36261425152.0,2002-08-12 03:45:00+00:00
RAINBOW.NS,Rainbow Children's Medicare Limited,Healthcare,137937387520.0,2022-05-10 03:45:00+00:00
RAJESHEXPO.NS,Rajesh Exports Limited,Consumer Cyclical,55045644288.0,2002-07-01 03:45:00+00:00
RAJMET.NS,Rajnandini Metal Limited,Basic Materials,1133568000.0,2018-10-23 03:45:00+00:00
RAJOOENG.NS,Rajoo Engineers Limited,Industrials,13735216128.0,2025-05-29 03:45:00+00:00
RAJRATAN.NS,Rajratan Global Wire Limited,Basic Materials,22214000640.0,2020-05-22 03:45:00+00:00
RAJRILTD.NS,Raj Rayon Industries Limited,Consumer Cyclical,13001207808.0,2007-01-04 03:45:00+00:00
RAJSREESUG.NS,Rajshree Sugars & Chemicals Limited,Consumer Defensive,1255409408.0,2002-07-01 03:45:00+00:00
RAJTV.NS,Raj Television Network Limited,Communication Services,2187491840.0,2007-03-16 03:45:00+00:00
RALLIS.NS,Rallis India Limited,Basic Materials,51223105536.0,2002-07-01 03:45:00+00:00
RAMANEWS.NS,Shree Rama Newsprint Limited,Consumer Defensive,4396156416.0,2002-07-01 03:45:00+00:00
RAMAPHO.NS,Rama Phosphates Limited,Basic Materials,6410542080.0,2022-08-05 03:45:00+00:00
RAMASTEEL.NS,Rama Steel Tubes Limited,Basic Materials,16213166080.0,2015-08-24 03:45:00+00:00
RAMCOCEM.NS,The Ramco Cements Limited,Basic Materials,241396301824.0,2002-07-01 03:45:00+00:00
RAMCOIND.NS,Ramco Industries Limited,Industrials,27935653888.0,2002-07-01 03:45:00+00:00
RAMCOSYS.NS,Ramco Systems Limited,Technology,22083842048.0,2002-08-12 03:45:00+00:00
RAMKY.NS,Ramky Infrastructure Limited,Industrials,41158844416.0,2010-10-08 03:45:00+00:00
RAMRAT.NS,Ram Ratna Wires Limited,Industrials,28610041856.0,2022-07-29 03:45:00+00:00
RANASUG.NS,Rana Sugars Limited,Consumer Defensive,2047596928.0,2005-02-24 03:45:00+00:00
RANEHOLDIN.NS,Rane Holdings Limited,Consumer Cyclical,20183109632.0,2002-07-01 03:45:00+00:00
RATEGAIN.NS,RateGain Travel Technologies Limited,Technology,83605692416.0,2021-12-17 03:45:00+00:00
RATNAMANI.NS,Ratnamani Metals & Tubes Limited,Basic Materials,167246528512.0,2006-05-09 03:45:00+00:00
RATNAVEER.NS,Ratnaveer Precision Engineering Limited,Basic Materials,8104311296.0,2023-09-11 03:45:00+00:00
RAYMOND.NS,Raymond Limited,Industrials,32314046464.0,1996-01-01 03:45:00+00:00
RAYMONDLSL.NS,Raymond Lifestyle Limited,Consumer Cyclical,68579917824.0,2024-09-05 03:45:00+00:00
RAYMONDREL.NS,Raymond Realty Limited,Real Estate,34248617984.0,2025-07-01 03:45:00+00:00
RBA.NS,Restaurant Brands Asia Limited,Consumer Cyclical,36097961984.0,2020-12-14 03:45:00+00:00
RBLBANK.NS,RBL Bank Limited,Financial Services,192370999296.0,2016-08-31 03:45:00+00:00
RBZJEWEL.NS,RBZ Jewellers Limited,Consumer Cyclical,5548400128.0,2023-12-27 03:45:00+00:00
RCF.NS,Rashtriya Chemicals and Fertilizers Limited,Basic Materials,78725898240.0,2002-07-01 03:45:00+00:00
RCOM.NS,Reliance Communications Limited,Communication Services,3427896064.0,2002-08-12 03:45:00+00:00
RECLTD.NS,REC Limited,Financial Services,954397097984.0,2008-03-12 03:45:00+00:00
REDINGTON.NS,Redington Limited,Technology,222180294656.0,2007-02-15 03:45:00+00:00
REDTAPE.NS,REDTAPE Limited,Consumer Cyclical,71771013120.0,2023-08-11 03:45:00+00:00
REFEX.NS,Refex Industries Limited,Energy,44073066496.0,2009-12-03 03:45:00+00:00
REGAAL.NS,REGAAL RESOURCES LIMITED,Consumer Defensive,8298001408.0,2025-08-20 03:45:00+00:00
REGENCERAM.NS,Regency Ceramics Limited,Industrials,1244341120.0,2002-07-01 03:45:00+00:00
RELAXO.NS,Relaxo Footwears Limited,Consumer Cyclical,102333169664.0,2011-06-17 03:45:00+00:00
RELCHEMQ.NS,Reliance Chemotex Industries Limited,Consumer Cyclical,1099360768.0,2022-05-25 03:45:00+00:00
RELIABLE.NS,Reliable Data Services Limited,Technology,1503623936.0,2017-10-12 03:45:00+00:00
RELIANCE.NS,Reliance Industries Limited,Energy,21152034455552.0,1996-01-01 03:45:00+00:00
RELIGARE.NS,Religare Enterprises Limited,Financial Services,81580040192.0,2007-11-21 03:45:00+00:00
RELINFRA.NS,Reliance Infrastructure Limited,Utilities,67696852992.0,1996-01-01 03:45:00+00:00
RELTD.NS,Ravindra Energy Limited,Technology,27214917632.0,2024-07-30 03:45:00+00:00
REMSONSIND.NS,Remsons Industries Limited,Consumer Cyclical,4261489920.0,2002-07-01 03:45:00+00:00
RENUKA.NS,Shree Renuka Sugars Limited,Consumer Defensive,57880412160.0,2005-10-31 03:45:00+00:00
REPCOHOME.NS,Repco Home Finance Limited,Financial Services,25937100800.0,2013-04-01 03:45:00+00:00
REPL.NS,Rudrabhishek Enterprises Limited,Industrials,2308625152.0,2018-07-27 03:45:00+00:00
REPRO.NS,Repro India Limited,Industrials,6799360000.0,2004-10-12 03:45:00+00:00
RESPONIND.NS,Responsive Industries Limited,Basic Materials,57112883200.0,2010-10-29 03:45:00+00:00
RETAIL.NS,JHS Svendgaard Retail Ventures Limited,Consumer Defensive,236278224.0,2024-06-26 03:45:00+00:00
RGL.NS,Renaissance Global Limited,Consumer Cyclical,13193352192.0,2007-12-12 03:45:00+00:00
RHETAN.NS,Rhetan TMT Limited,Basic Materials,18128906240.0,2025-09-26 03:45:00+00:00
RHFL.NS,Reliance Home Finance Limited,Financial Services,1571186432.0,2017-09-22 03:45:00+00:00
RHIM.NS,RHI Magnesita India Limited,Industrials,96431235072.0,2012-03-12 03:45:00+00:00
RHL.NS,Robust Hotels Limited,Consumer Cyclical,3904072704.0,2023-04-25 03:45:00+00:00
RICOAUTO.NS,Rico Auto Industries Limited,Consumer Cyclical,14417989632.0,2002-07-02 03:45:00+00:00
RIIL.NS,Reliance Industrial Infrastructure Limited,Industrials,13133979648.0,1996-01-01 03:45:00+00:00
RISHABH.NS,Rishabh Instruments Limited,Technology,16349505536.0,2023-09-11 03:45:00+00:00
RITCO.NS,Ritco Logistics Limited,Industrials,7664828928.0,2022-04-12 03:45:00+00:00
RITES.NS,RITES Limited,Industrials,114734391296.0,2018-07-03 03:45:00+00:00
RKDL.NS,Ravi Kumar Distilleries Limited,Consumer Defensive,604800000.0,2010-12-27 03:45:00+00:00
RKEC.NS,RKEC Projects Limited,Industrials,1382578304.0,2017-10-09 03:45:00+00:00
RKFORGE.NS,Ramkrishna Forgings Limited,Industrials,98319351808.0,2004-05-05 03:45:00+00:00
RKSWAMY.NS,R K SWAMY LIMITED,Communication Services,6250092032.0,2024-03-12 03:45:00+00:00
